Label,IQR chroma_cqt,IQR chroma_stft,IQR mfcc,IQR rms,Kurtosis chroma_cqt,Kurtosis chroma_stft,Kurtosis mfcc,Kurtosis rms,Max chroma_cqt,Max chroma_stft,Max mfcc,Max rms,Mean chroma_cqt,Mean chroma_stft,Mean mfcc,Mean rms,Median chroma_cqt,Median chroma_stft,Median mfcc,Median rms,MinMax chroma_cqt,MinMax chroma_stft,MinMax mfcc,MinMax rms,Quartile 1 chroma_cqt,Quartile 1 chroma_stft,Quartile 1 mfcc,Quartile 1 rms,Quartile 3 chroma_cqt,Quartile 3 chroma_stft
artifact,0.2645477056503296,0.3621738627552986,5.232943117618561,0.0002478685437381,-0.4610908699183405,-0.8002377810501553,15.094608563341644,124.56711431465207,1.0,1.0,323.49335,0.18369482,0.72850084,0.6225223,-28.484547,0.002206593,0.7376471,0.62524927,-0.6628847,0.00015962937,0.8244027,0.9659105,967.3039,0.18362243,0.6061782687902451,0.4483781084418297,-3.4280667901039124,0.0001126567276514,0.8707259744405746,0.8105519711971283
artifact,0.1925742328166961,0.3021881878376007,14.915263891220093,0.0003905010980815,-0.5960857293444608,-0.7671229051307473,14.852621966211704,18.58217569170199,1.0,1.0,313.95758,0.005229567,0.7854257,0.66069967,-34.966278,0.00038828122,0.78318834,0.65261614,0.10010734,0.00022548318,0.6577008,0.87693065,1231.8707,0.005214473,0.6905047744512558,0.5110326856374741,-9.097508668899536,2.160024996555876e-05,0.883079007267952,0.8132208734750748
artifact,0.1921186596155166,0.3083606138825416,21.44798004627228,0.0003673862338473,-0.6646633095909311,-0.8225743143252591,12.755981705360718,7.743247836560871,1.0,1.0,302.23953,0.0042330264,0.79413563,0.643353,-31.556053,0.0005175701,0.79284173,0.62961066,-3.1594853,0.00022679099,0.6409236,0.90448916,1097.7024,0.0041249306,0.7018197327852249,0.4865903034806251,-14.68642520904541,0.0001573302324686,0.8939383924007416,0.7949509173631668
artifact,0.3203379660844803,0.4577314555644989,19.0447718501091,0.0076104062609374,-0.7804263245485514,-1.032541028592658,9.164544730563184,25.57377882630757,1.0,1.0,326.28674,0.10364287,0.66290104,0.4958275,-15.943065,0.013433995,0.66927564,0.464432,-5.171048,0.010906685,0.9110694,0.9941545,832.5146,0.100494735,0.5074639022350311,0.2576198130846023,-15.684321641921995,0.0078669940121471,0.8278018683195114,0.7153512686491013
artifact,0.2730223685503006,0.4087017998099327,15.521575391292572,0.0055478190770372,-0.7264082808323415,-0.9795639910942376,10.927862814337304,24.66370637139368,1.0,1.0,316.89313,0.28726414,0.7173759,0.55125725,-15.301639,0.01741439,0.7210151,0.5292816,-4.7626157,0.008104292,0.8017727,0.96883273,820.3839,0.28607732,0.5858127772808075,0.3468781039118767,-12.728858947753906,0.0061422329163178,0.8588351458311081,0.7555799037218094
artifact,0.2488657534122467,0.3203327655792236,13.721605658531187,0.0060963631963204,-0.4823075024082239,-0.6249234353793076,16.11144760522907,-1.5924232242975551,1.0,1.0,291.40955,0.010554077,0.7283441,0.6415489,-29.411938,0.0030022215,0.73589444,0.64372385,0.88985956,2.242149e-05,0.8580219,0.9602266,1174.186,0.0105391955,0.6102420389652252,0.4883705228567123,-7.860694289207458,2.16186622310488e-05,0.8591077923774719,0.808703288435936
artifact,0.1991869509220123,0.3091706708073616,15.34429097175598,0.0037005171670898,-0.1805961852236675,-0.7922174651616722,14.8782579152732,27.84399243253845,1.0,1.0,351.95193,0.032201633,0.7753276,0.6387977,-27.558533,0.0023464018,0.77439356,0.6273135,-0.27068695,0.000976842,0.7303278,0.9115903,1190.176,0.0321821,0.6802248507738113,0.4836447015404701,-11.242757558822632,0.0001119902099162,0.8794118016958237,0.7928153723478317
artifact,0.2295423448085785,0.3735275939106941,18.291502952575684,0.0511398175731301,-0.4830694769729207,-0.9191377569534304,12.731510991991415,3.063576305118203,1.0,1.0,334.1693,0.5281156,0.75393623,0.6482817,-8.341916,0.08129823,0.75656676,0.6519261,-0.6888417,0.01680722,0.8090326,0.96040887,836.42944,0.5269173,0.6441150456666946,0.4702255502343178,-8.284756183624268,0.0080153523012995,0.8736573904752731,0.8437531441450119
artifact,0.2880255728960037,0.4271938800811767,16.09420996904373,0.0056205950677394,-0.8617251632868208,-0.9734626112744578,11.67349274971,20.38744150245073,1.0,1.0,319.13196,0.07934751,0.6756428,0.5153541,-20.29689,0.0067035966,0.663527,0.4911911,-4.5279455,0.0025972663,0.7911202,0.97400546,920.01685,0.07855278,0.5292455852031708,0.2895016670227051,-12.783396244049072,0.0017755578737705,0.8172711580991745,0.7166955471038818
artifact,0.1894166320562362,0.3023558706045151,33.54893350601196,0.0645713880658149,-0.3203261900255407,-0.3831203586324387,7.177883466804923,2.1054561580151816,1.0,1.0,326.22455,0.45240486,0.79090947,0.65895975,0.20310207,0.29983118,0.79268557,0.6565455,-3.995617,0.3405978,0.6975026,0.9730409,701.8386,0.44238922,0.7004102766513824,0.5147036164999008,-22.35734510421753,0.2921956107020378,0.8898269087076187,0.8170594871044159
artifact,0.3842605873942375,0.4826107546687126,8.04170160740614,0.0068506011125464,-0.7228414910897594,-1.0856159244657138,15.57648014317784,18.04597241314092,1.0,1.0,248.21112,0.067786485,0.62390155,0.5346798,-25.625721,0.00512374,0.6481616,0.5553894,0.2118465,0.001631272,0.9850278,0.9998257,938.0828,0.06777083,0.4371885284781456,0.2864437475800514,-7.620782017707825,2.1608142105833394e-05,0.8214491158723831,0.769054502248764
artifact,0.2465114295482635,0.3295556977391243,4.331947922706604,0.0249643088645825,0.6207643458539183,-0.3395177250274943,15.89418132399314,14.28301379859478,1.0,1.0,337.76593,0.24753486,0.7294486,0.6248454,-23.379631,0.01677982,0.7570121,0.63598716,0.0,2.211517e-05,0.9409359,0.99857193,973.0105,0.24751943,0.6247165352106094,0.4720309302210808,-4.331947922706604,2.144972313544713e-05,0.871227964758873,0.8015866279602051
artifact,0.429467611014843,0.5209893882274628,12.512120008468628,0.0063477847143076,-1.130350361295522,-1.1878072169105174,13.964204554476854,21.517921789470822,1.0,1.0,311.29504,0.1624855,0.58459824,0.50321573,-18.65226,0.010916346,0.5848733,0.50057125,-1.1685616,0.0053367727,0.9407006,0.9984136,942.30194,0.16246584,0.3616259321570396,0.2312454730272293,-8.207265615463257,0.002485662989784,0.7910935431718826,0.7522348612546921
artifact,0.1071580052375793,0.0697477782359783,48.13819646835327,0.0571302473545074,4.032394939826685,5.257725179190924,8.960108675723195,9.11753836825968,1.0,1.0,258.5521,0.6508561,0.18200852,0.12040122,-8.788837,0.55594397,0.066985905,0.00068453373,-5.064709,0.56429374,0.98636615,0.9999986,630.5223,0.4118175,0.0412608012557029,3.115961044386495e-05,-22.974445819854736,0.5336422771215439,0.1484188064932823,0.0697789378464222
artifact,0.2647860646247864,0.3550238609313965,10.796940565109251,0.0205030629440443,-0.4412096544332584,-0.6897857474516558,14.36255676292351,17.331701189707967,1.0,1.0,331.92725,0.31221864,0.71787304,0.62649775,-18.518347,0.020785185,0.72809356,0.6272652,-1.969933,0.0067776847,0.85413736,0.9814486,934.97296,0.31219763,0.5953735411167145,0.4569072425365448,-8.994508504867554,0.0009890946530504,0.8601596057415009,0.8119311034679413
artifact,0.2651172131299972,0.3584796860814094,10.376144409179688,0.0395349035097751,-0.209862383032648,-0.9638128460795476,14.298198653383889,8.97458040252653,1.0,1.0,329.849,0.35295254,0.7189861,0.65716887,-15.241151,0.031481173,0.7236607,0.65818286,-0.6622845,0.0047105467,0.90508544,0.9214994,926.48694,0.3529052,0.597406342625618,0.4828541502356529,-6.0776450634002686,0.0013401513861026,0.8625235557556152,0.8413338363170624
artifact,0.2466251701116562,0.3736552521586418,22.575427532196045,0.4756852365098893,0.1658220928596674,-0.7417825946945431,14.009059208292127,-1.1523098049269476,1.0,1.0,324.87482,0.5380027,0.73230284,0.58277726,-0.48949492,0.3480547,0.7560481,0.5907622,-2.605662,0.47577512,0.90618795,0.9867136,780.9126,0.53555334,0.6282682567834854,0.4087487086653709,-14.37526798248291,0.017820666078478,0.8748934268951416,0.7824039608240128
artifact,0.3347065448760986,0.5225243605673313,12.2428041100502,0.0056154253543354,-0.767906693655521,-1.105550227507994,13.800132102465197,0.6718553891171246,1.0,1.0,267.2654,0.024766732,0.57967025,0.45096794,-20.461672,0.006077147,0.5597833,0.4066254,0.3007114,0.0058870725,0.93585503,0.996618,1050.0947,0.024746435,0.4038337767124176,0.172406505793333,-8.66736364364624,0.0032626853208057,0.7385403215885162,0.6949308663606644
artifact,0.3574001267552376,0.2455334961414337,15.553780555725098,0.104263074696064,-0.8990444212508302,-0.4780191278326757,14.243555526243394,1.3567786948802487,1.0,1.0,256.6311,0.46368584,0.57149553,0.8094207,-0.4258029,0.13810894,0.5531866,0.82928514,13.556574,0.11669591,0.8879693,0.7476886,730.0679,0.45358342,0.3841497674584389,0.7042581588029861,7.567708492279053,0.0746391378343105,0.7415498942136765,0.94979165494442
